"block_timestamp_date","total_txs","500_520_fee_per_byte","98_109_fee_per_byte","29_32_fee_per_byte","24_34_44_fee","317_453_fee","500_520_perc_fee_per_byte","98_109_perc_fee_per_byte","29_32_perc_fee_per_byte","24_34_44_perc_fee","317_453_perc_fee"
2022-08-14,1557,0,0,0,0,0,0,0,0,0,0
2022-08-15,17357,0,0,0,0,0,0,0,0,0,0
2022-08-16,19586,1,8,0,0,0,0.00510568773613806,0.0408455018891045,0,0,0
2022-08-17,26297,0,2,0,0,0,0,0.00760543027721793,0,0,0
2022-08-18,28428,0,3,0,0,0,0,0.0105529759392149,0,0,0
2022-08-19,39675,0,0,1,0,0,0,0,0.00252047889098929,0,0
2022-08-20,21810,0,0,0,0,0,0,0,0,0,0
2022-08-21,19409,0,0,0,0,0,0,0,0,0,0
2022-08-22,20727,0,0,0,0,0,0,0,0,0,0
2022-08-23,18812,0,0,0,0,0,0,0,0,0,0
2022-08-24,16324,0,0,0,1,0,0,0,0,0.00612594952217594,0
2022-08-25,20638,70,61,0,45,14,0.339180153115612,0.295571276286462,0,0.218044384145751,0.0678360306231224
2022-08-26,18183,111,90,0,336,16,0.610460320079195,0.494967827091239,0,1.84787988780729,0.0879942803717758
2022-08-27,13920,92,78,0,383,24,0.660919540229885,0.560344827586207,0,2.7514367816092,0.172413793103448
2022-08-28,13891,115,134,0,468,23,0.827874163127205,0.964653372687352,0,3.36908789863941,0.165574832625441
2022-08-29,17664,176,249,0,514,42,0.996376811594203,1.40964673913043,0,2.9098731884058,0.237771739130435
2022-08-30,18666,245,278,0,498,82,1.31254687667417,1.48933890496089,0,2.66795242687239,0.439301403621558
2022-08-31,17296,198,240,0,520,44,1.14477335800185,1.38760407030527,0,3.00647548566142,0.254394079555967
2022-09-01,16536,205,236,0,557,36,1.23971940009676,1.42718916303822,0,3.36840832123851,0.217706821480406
2022-09-02,15390,152,233,3,488,37,0.987654320987654,1.51397011046134,0.0194931773879142,3.17089018843405,0.240415854450942
2022-09-03,12921,167,402,1,323,25,1.29246962309419,3.11121430229858,0.00773933906044424,2.49980651652349,0.193483476511106
2022-09-04,14238,185,516,1,374,24,1.29933979491502,3.62410450906026,0.00702345835089198,2.6267734232336,0.168563000421407
2022-09-05,17341,184,624,0,495,29,1.06106914249467,3.59840839628626,0,2.85450666051554,0.167233723545355
2022-09-06,17862,232,629,6,505,42,1.29884671369388,3.52144216773038,0.0335908632851864,2.82723099316986,0.235136042996305
2022-09-07,16978,221,570,0,389,34,1.30168453292496,3.35728589939922,0,2.29120037695842,0.200259158911533
2022-09-08,15817,217,515,7,386,44,1.37194158184232,3.25599039008662,0.0442561800594297,2.4404122147057,0.278181703230701
2022-09-09,15367,199,557,0,402,37,1.29498275525477,3.62465022450706,0,2.61599531463526,0.240775688162947
2022-09-10,13005,148,511,0,333,28,1.13802383698577,3.92925797770088,0,2.56055363321799,0.215301806997309
2022-09-11,13953,160,500,0,344,36,1.14670680140472,3.58345875438974,0,2.46541962302014,0.258009030316061
2022-09-12,16589,196,637,6,485,44,1.18150581710772,3.8398939056001,0.036168545421665,2.92362408825125,0.265235999758876
2022-09-13,17780,219,642,14,458,54,1.23172103487064,3.61079865016873,0.078740157480315,2.57592800899888,0.303712035995501
2022-09-14,17032,195,615,0,446,32,1.14490371066228,3.61085016439643,0,2.61860028182245,0.187881634570221
2022-09-15,16617,209,664,0,454,42,1.25774808930613,3.99590780525967,0,2.73214178251189,0.252753204549558
2022-09-16,15554,182,501,0,443,45,1.17011701170117,3.22103638935322,0,2.84814195705285,0.289314645750289
2022-09-17,13107,154,486,0,377,13,1.17494468604562,3.70794232089723,0,2.87632562752728,0.0991836423285267
2022-09-18,14354,151,550,11,408,17,1.05197157586735,3.83168454786122,0.0766336909572245,2.84241326459523,0.118433886024801
2022-09-19,17915,234,624,2,514,58,1.30616801562936,3.48311470834496,0.0111638291934133,2.86910410270723,0.323751046608987
2022-09-20,18601,244,663,5,532,54,1.31175743239611,3.56432449868287,0.0268802752540186,2.86006128702758,0.290306972743401
2022-09-21,16881,254,675,3,492,49,1.50465019844796,3.99857828327706,0.0177714590367869,2.91451928203305,0.29026716426752
2022-09-22,16135,218,609,0,479,39,1.3511000929656,3.77440347071583,0,2.96870158041525,0.241710567090177
2022-09-23,15708,168,594,0,411,64,1.06951871657754,3.78151260504202,0,2.61650114591291,0.407435701553349
2022-09-24,12897,184,515,0,352,26,1.42668837714197,3.99317670776149,0,2.72931689540203,0.201597270683105
2022-09-25,14068,168,505,3,374,24,1.19419960193347,3.58970713676429,0.021324992891669,2.65851578049474,0.170599943133352
2022-09-26,18092,225,674,0,413,45,1.24364359938094,3.72540349325669,0,2.2827769179748,0.248728719876188
2022-09-27,17626,251,755,5,413,55,1.42403267899694,4.28344491092704,0.0283671848405764,2.34312946783161,0.312039033246341
2022-09-28,17942,261,669,2,378,43,1.45468732582767,3.72868130643184,0.0111470293166871,2.10678854085386,0.239661130308773
2022-09-29,17066,230,686,0,426,46,1.34770889487871,4.01968826907301,0,2.49619125747099,0.269541778975741
2022-09-30,15912,208,611,0,420,45,1.30718954248366,3.83986928104575,0,2.6395173453997,0.282805429864253
2022-10-01,12209,208,502,0,376,49,1.70366123351626,4.11172086165943,0,3.07969530674093,0.401343271357195
2022-10-02,11661,166,485,0,401,56,1.42354858073922,4.15916302203928,0,3.43881313780979,0.480233256152989
2022-10-03,18442,245,758,1,522,50,1.3284893178614,4.11018327730181,0.00542240537902614,2.83049560785164,0.271120268951307
2022-10-04,18179,276,729,1,504,39,1.5182353264756,4.01012156884317,0.00550085263215798,2.77242972660762,0.214533252654161
2022-10-05,19006,315,770,7,489,45,1.65737135641376,4.05135220456698,0.0368304745869725,2.57287172471851,0.236767336630538
2022-10-06,17682,232,723,0,507,46,1.31206877050107,4.08890397013912,0,2.86732270105192,0.260151566564868
2022-10-07,15201,196,576,0,395,33,1.28938885599632,3.78922439313203,0,2.59851325570686,0.217090980856523
2022-10-08,10717,151,452,6,294,11,1.4089763926472,4.21759820845386,0.0559858169263786,2.74330502939255,0.102640664365028
2022-10-09,12431,152,502,3,320,28,1.22274957766873,4.03829136835331,0.024133215348725,2.57420963719733,0.225243343254766
2022-10-10,22706,263,740,5,501,30,1.15828415396811,3.25905047124108,0.0220206112921695,2.20646525147538,0.132123667753017
2022-10-11,19338,247,727,1,530,53,1.27727789843831,3.75943737718482,0.0051711655807219,2.7407177577826,0.27407177577826
2022-10-12,16303,226,712,0,444,55,1.38624792982887,4.36729436300068,0,2.72342513647795,0.337361221861007
2022-10-13,17944,252,676,3,459,44,1.40436914846188,3.76727596968346,0.0167186803388319,2.55795809184128,0.245207311636201
2022-10-14,15763,216,588,4,434,34,1.37029753219565,3.73025439319926,0.0253758802258453,2.75328300450422,0.215694981919685
2022-10-15,13445,154,495,0,381,28,1.14540721457791,3.68166604685757,0,2.83376719970249,0.208255857195984
2022-10-16,12461,164,551,0,365,21,1.31610625150469,4.42179600353102,0,2.92913891340984,0.168525800497552
2022-10-17,19464,318,786,5,503,37,1.63378545006165,4.03822441430333,0.0256884504726675,2.58425811755035,0.190094533497739
2022-10-18,18056,273,710,0,544,44,1.51196278245459,3.93221089942401,0,3.01284891448826,0.24368630926008
2022-10-19,20257,261,750,0,428,40,1.288443501012,3.70242385348275,0,2.11284987905415,0.19746260551908
2022-10-20,26155,169,672,8,390,43,0.646147964060409,2.5692984133053,0.0305868858726821,1.49111068629325,0.164404511565666
2022-10-21,23463,201,589,0,373,39,0.85666794527554,2.51033542172783,0,1.58973703277501,0.166219153560926
2022-10-22,19608,135,492,1,296,18,0.688494492044064,2.50917992656059,0.0050999592003264,1.50958792329661,0.0917992656058752
2022-10-23,23066,237,567,5,375,34,1.02748634353594,2.45816353073788,0.0216769270788173,1.6257695309113,0.147403104135958
2022-10-24,29614,241,748,1,537,42,0.813804281758628,2.52583237657865,0.00337678125211049,1.81333153238333,0.141824812588641
2022-10-25,31016,264,767,0,540,54,0.851173587825638,2.47291720402373,0,1.74103688418881,0.174103688418881
2022-10-26,26503,195,683,1,411,68,0.735765762366525,2.5770667471607,0.00377315775572577,1.55076783760329,0.256574727389352
2022-10-27,23285,233,603,11,417,36,1.00064419153962,2.58964998926347,0.0472407129053038,1.79085248013743,0.154605969508267
2022-10-28,24588,248,632,3,433,43,1.00862209207744,2.57035952497153,0.0122010736944851,1.76102163657069,0.17488205628762
2022-10-29,20196,207,564,5,370,22,1.02495543672014,2.79263220439691,0.0247573776985542,1.83204594969301,0.108932461873638
2022-10-30,15526,199,579,9,422,51,1.28172098415561,3.72922839108592,0.0579672806904547,2.71802138348577,0.32848125724591
2022-10-31,20521,226,710,0,518,43,1.10131085229765,3.4598703766873,0,2.52424345792115,0.209541445348667
2022-11-01,20433,305,789,0,548,40,1.49268340429697,3.86140067537806,0,2.68193608378603,0.195761757940586
2022-11-02,20373,222,737,0,565,63,1.08967751435724,3.61753300937515,0,2.77327835861189,0.309232808128405
2022-11-03,19300,248,681,5,535,49,1.28497409326425,3.52849740932642,0.0259067357512953,2.7720207253886,0.253886010362694
2022-11-04,18003,209,617,0,474,42,1.1609176248403,3.42720657668166,0,2.6328945175804,0.233294450924846
2022-11-05,18614,222,624,4,388,40,1.19265069302675,3.35231546148061,0.0214892016761577,2.0844525625873,0.214892016761577
2022-11-06,14860,213,556,9,453,42,1.43337819650067,3.74158815612382,0.0605652759084791,3.04845222072678,0.282637954239569
2022-11-07,22377,261,787,1,604,66,1.16637618983778,3.5170040666756,0.00446887429056621,2.69920007150199,0.29494570317737
2022-11-08,18731,274,828,1,524,38,1.46281565319524,4.42047941914473,0.00533874325983663,2.7975014681544,0.202872243873792
2022-11-09,17552,286,834,11,516,51,1.62944393801276,4.75159525979945,0.0626709206927985,2.93983591613491,0.29056517775752
2022-11-10,18686,238,671,0,455,49,1.27368083056834,3.59092368618217,0,2.43497805843947,0.262228406293482
2022-11-11,15946,189,639,16,497,45,1.18525021949078,4.00727455161169,0.100338642919855,3.11676909569798,0.282202433212091
2022-11-12,14058,185,539,0,342,19,1.31597666808934,3.83411580594679,0,2.43277848911652,0.135154360506473
2022-11-13,14724,166,581,7,389,48,1.12741102961152,3.94593860364032,0.0475414289595219,2.64194512360771,0.32599837000815
2022-11-14,17115,244,684,10,512,52,1.42565001460707,3.99649430324277,0.058428279287175,2.99152789950336,0.30382705229331
2022-11-15,17351,232,725,0,520,38,1.3370987262982,4.17843351968186,0,2.9969454210132,0.219007549997118
2022-11-16,17843,300,757,4,504,41,1.68133161463879,4.24256010760522,0.0224177548618506,2.82463711259317,0.229781987333969
2022-11-17,17859,291,770,6,531,32,1.62943053922392,4.31155159863374,0.0335965059633798,2.97329077775911,0.179181365138026
2022-11-18,16574,272,671,5,444,56,1.64112465307108,4.04850971400989,0.0301677325932183,2.67889465427778,0.337878605044045
2022-11-19,13941,193,530,0,387,23,1.38440570977692,3.80173588695216,0,2.77598450613299,0.164980991320565
